EP011949,            UNNAMED,      7,
19500828, 1200,  , HU, 18.6N, 137.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500828, 1800,  , HU, 18.7N, 137.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500829, 0000,  , HU, 18.8N, 138.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500829, 0600,  , HU, 18.9N, 138.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500829, 1200,  , HU, 19.0N, 139.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500829, 1800,  , HU, 19.1N, 140.3W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500830, 0000,  , HU, 19.3N, 141.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500830, 0600,  , HU, 19.5N, 142.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19500830, 1200,  , HU, 19.7N, 143.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP061950,            UNNAMED,      9,
19501001, 1200,  , HU, 14.0N, 108.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19501001, 1800,  , HU, 14.7N, 109.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19501002, 0000,  , HU, 15.2N, 109.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19501002, 0600,  , HU, 15.4N, 109.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
